,2003,2004,2005,2006,2007,2008,2009,2010,2011
f7fn,0,0,0,16692480,6294041,4207627,4207627,4207627,4207627
f7gn,0,0,0,47683106,56068388,56469760,56469760,56469760,56469760
f7fh,0,0,0,6206100,7973992,10058021,10058021,10058021,10058021
f7us,0,0,0,951253,1229473,1139991,1139991,1139991,1139991
f7uo,0,0,0,80531,93398,100300,100300,100300,100300
f7um,0,0,0,0,25021,25764,25764,25764,25764
f7un,0,0,0,17908238,19991841,23517864,23517864,23517864,23517864
f7fy,0,0,0,428,360,485,485,485,485
f7gy,0,0,0,19,42,37,37,37,37
f7uc,0,0,0,732834,812969,900507,900507,900507,900507
f7up,0,0,0,7231,5335,0,0,0,0
f7uq,0,0,0,2180,1471,0,0,0,0
f7xc,0,0,0,632909869,532386160,467173107,467173107,467173107,467173107
f7xd,0,0,0,31681352,0,0,0,0,0
f7xf,0,0,0,99869725,161172605,166276148,166276148,166276148,166276148
f7xg,0,0,0,3592812,3462423,2878473,2878473,2878473,2878473
f7xh,0,0,0,6574795,8136766,8360463,8360463,8360463,8360463
f7xj,0,0,0,255846,153847,0,0,0,0
f7xk,0,0,0,242544,0,0,0,0,0
f7xl,0,0,0,1492532,9679786,2389827,2389827,2389827,2389827
f7xm,0,0,0,868328,1504795,2184499,2184499,2184499,2184499
f7xn,0,0,0,0,2581922,5030294,5030294,5030294,5030294
f7xo,0,0,0,0,0,743515,743515,743515,743515
f8ta,0,0,0,74288888,83045648,88128504,88128504,88128504,88128504
f8th,0,0,0,4006825,2 081 86,2574999,2574999,2574999,2574999
f8tn,0,0,0,151954083,67539200,93601865,93601865,93601865,93601865
f8te,0,0,0,60152,87590,74544,74544,74544,74544
f8tg,0,0,0,4558353,5111340,6360979,6360979,6360979,6360979
f8to,0,0,0,5002211,5919840,5987675,5987675,5987675,5987675
f8tp,0,0,0,50707,36176,74363,74363,74363,74363
f8tb,0,0,0,266591,543251,1301113,1301113,1301113,1301113
f8tc,0,0,0,518691,570386,411131,411131,411131,411131
f8uz,0,0,0,162443,287383,483746,483746,483746,483746
f8tz,0,0,0,129582085,136010844,136802220,136802220,136802220,136802220
f8wa,0,0,0,11172315,13338485,15435107,15435107,15435107,15435107
f8wb,0,0,0,205706,382633,448037,448037,448037,448037
f8wc,0,0,0,341403,346554,205286,205286,205286,205286
f8wd,0,0,0,6364208,11531196,16837352,16837352,16837352,16837352
f8we,0,0,0,0,0,21741,21741,21741,21741
f8wr,0,0,0,114526,296908,841398,841398,841398,841398
f8ws,0,0,0,0,0,4166,4166,4166,4166
f8wt,0,0,0,6116019,8345326,9835597,9835597,9835597,9835597
f8wu,0,0,0,0,0,166204,166204,166204,166204
f8wv,0,0,0,0,1952907,3218407,3218407,3218407,3218407
f8wx,0,0,0,0,28198,24189,24189,24189,24189
